"regulatoryGene","targetGene","weight"
"FGR","CD300A",0.0200291239910166
"IL2RB","MYO1G",0.0200007621852429
"GZMH","GNLY",0.0199912302676765
"S1PR5","PRF1",0.0199844049614882
"RPS5","RPS8",0.0199495213212249
"CD14","CD28",0.0199475663582464
"GZMK","IL7R",0.0199339431043234
"CD52","PLEK",0.0199164808396838
"TIGIT","GZMK",0.0198618579592
"ITGB2","MYO1F",0.0198395508304459
"GZMK","CD6",0.0198363746212868
"CD28","MYO1G",0.0198037667892362
"NKG7","GZMH",0.0197997635073282
"LTB","BTLA",0.0197968380208522
"SAMD3","FCGR3B",0.0197749893427753
"BTLA","CD27",0.0197748030525662
"CD3E","EMP3",0.0197719778559275
"RPS8","RPS5",0.0197641620489402
"PTPRC","FCGR3B",0.0197575797252873
"CD8A","GZMK",0.0197390903561656
"CD3E","RPS8",0.0197368974622147
"RPS5","NOP53",0.0197169169876127
"IFNG","IL2RB",0.0196990177037636
"IL7R","BIN2",0.0196725460829317
"IL7R","NPM1",0.0196660820638478
"CD2","RSL1D1",0.0196567517869678
"CD5","GPR183",0.0196064130924144
"IL2RB","CD6",0.0195900650740085
"TBX21","KLRB1",0.0195870295610301
"IL2RB","BIN2",0.0195760265339538
"FGR","MYO1F",0.0195732302271545
"EEF2","RPS5",0.0195452152001271
"KLRB1","SELPLG",0.0195274863147276
"PLEK","CTLA4",0.0195200982728675
"PTPRC","EIF3L",0.0194891445794076
"CD3E","CD52",0.0194877667936744
"GNLY","CD27",0.0194783953540278
"CD8A","KLRB1",0.0194672763905003
"CD27","CD6",0.0194656381669674
"CD2","GZMK",0.0194462236418768
"CD52","CD3E",0.0193916309288997
"PTPRC","ITGB2",0.0193869544991533
"GNLY","BIN2",0.0193779068764019
"CD52","EEF2",0.0193732293990459
"GZMH","CD8B",0.0193674433014692
"ITGB2","PLEK",0.019348839689305
"GZMH","IFNG",0.0193415121097605
"KLRB1","NKG7",0.0193366052618535
"FGFBP2","NKG7",0.0193063014626501
"CCR7","CD6",0.0192859436379277
"CD14","RPS5",0.0192853314770311
"ACTN1","CD4",0.0192633121391899
"NKG7","FGFBP2",0.0192453806627761
"ITGAM","S1PR5",0.0192416077078086
"NKG7","RSL1D1",0.0192207231557852
"PLEK","CD300A",0.0192122420253296
"CD8A","IL2RA",0.019186706287098
"CD3D","IL2RA",0.0191741679763349
"IL2RB","FCGR3B",0.0191740739290256
"PLEK","ITGB2",0.0191733071054642
"CD300A","CD3E",0.019173264202809
"GZMH","GZMB",0.0191640373060774
"FCGR3B","IL7R",0.0191629421772105
"ITGB2","S1PR5",0.0191537314244987
"RACK1","EEF2",0.0191500738083377
"RACK1","CD28",0.0191449058665507
"KLRB1","IL2RA",0.0191022335450821
"CD8A","APEX1",0.0190699432299375
"NKG7","CD3G",0.0190637041473566
"MYO1F","BIN2",0.0190176464583965
"EIF3L","CD8B",0.0189919734677255
"EEF2","TOMM7",0.0189693278445281
"FGFBP2","CD8B",0.0189394039311539
"LTB","FLNA",0.0189341110632577
"CD2","IL17RA",0.018931084347396
"RPS5","MYO1F",0.0189201069530356
"AIF1","SAMD3",0.018893942696841
"CD3E","CD5",0.0188935774852004
"MYO1F","FGR",0.0188777469895329
"GZMK","FCGR3B",0.018865023290283
"GZMH","KLRB1",0.0188515383015996
"RPS5","CD27",0.0188453283511827
"CD3D","APEX1",0.0188422534881084
"GNLY","CD8A",0.0188350166260198
"CD8A","IL2RB",0.0188323919209223
"CD5","CD3E",0.0188218618441799
"NOP53","FCRL3",0.0188157286661842
"CD52","MYO1G",0.0187975357634612
"PLEK","CD52",0.0187872189212617
"PRF1","TBX21",0.0187854603503445
"FGFBP2","ARHGAP25",0.0187735718036893
"TBX21","PRF1",0.0187731277431089
"KLRB1","AIF1",0.0187621993980897
"CD27","IL17RA",0.0187426516760345
"CD300A","SELPLG",0.0187335456123762
"CD6","IL2RB",0.018721939915254
"CD8A","BTLA",0.0187174447204904
"CD8A","ITGAM",0.0187134674424685
"ITGB2","ITGAM",0.0187073995433262
"CD52","IL17RA",0.0187025769888796
"AIF1","BIN2",0.0186970714684607
"GZMH","CD69",0.018691288161428
"EEF2","IL7R",0.0186817862834527
"CD14","TIGIT",0.0186287035390614
"SAMD3","CD8A",0.0186030149197282
"RPS8","CD8B",0.0185889384135381
"ZNF683","CD3D",0.0185753383325357
"EIF3L","FCRL3",0.0185741384451557
"KLRB1","CTLA4",0.0185401705684395
"GZMH","LTB",0.0184988408753852
"CD14","ITGB2",0.0184736799424838
"SELL","SELPLG",0.0184586503686052
"RPS8","MYO1F",0.0184397394589297
"S1PR5","TOMM7",0.0184341570002004
"PTPRC","CD4",0.0184214937386811
"CD2","NKG7",0.0184034360101174
"GIMAP5","CD2",0.0184018759603909
"CD27","CD3G",0.0183893931443233
"TBX21","CD4",0.0183844457005099
"FGR","PLEK",0.0183826219182161
"GZMK","CD3G",0.0183708538176929
"CD3G","SAMD3",0.0183664674403379
"CD27","CD2",0.0183660922130275
"EIF3L","SELPLG",0.0183650520824664
"LGALS1","CD28",0.0183611427174345
"IL17RA","NKG7",0.0183387427519025
"CD2","CD6",0.0183143400912149
"PLEK","TOMM7",0.0183115908224205
"IL2RB","GZMH",0.0183102468854558
"KLRB1","ZNF683",0.0183041063651276
"ARHGAP25","CD4",0.0183032809395058
"S1PR5","TIGIT",0.0182830586073141
