Interactor_A	Interactor_B	Score	type
391	ZNHIT2	AAR2	560	physical
392	ZNHIT2	C2orf44	684	physical
393	ZNHIT2	CD2BP2	495	physical
394	ZNHIT2	DCAF8	332	physical
395	ZNHIT2	DDX23	587	physical
396	ZNHIT2	DHX38	308	physical
397	ZNHIT2	ECD	939	physical
398	ZNHIT2	EFTUD2	3727	physical
399	ZNHIT2	FBXO3	509	physical
400	ZNHIT2	POLDIP2	906	physical
401	ZNHIT2	PRPF6	1008	physical
402	ZNHIT2	PRPF8	4874	physical
403	ZNHIT2	RPAP3	516	physical
404	ZNHIT2	RUVBL1	2014	physical
405	ZNHIT2	RUVBL2	2054	physical
406	ZNHIT2	SART3	357	physical
407	ZNHIT2	SNRNP200	4818	physical
408	ZNHIT2	SNRNP40	816	physical
409	ZNHIT2	TCOF1	2687	physical
410	ZNHIT2	TSSC4	333	physical
411	ZNHIT2	UBR4	980	physical
412	ZNHIT2	USP9X	459	physical
413	ZNHIT2	ZNHIT2	1895	physical
414	ZNHIT3	NUFIP1	709	physical
415	ZNHIT3	PRPF19	304	physical
416	ZNHIT3	ZNHIT3	763	physical
417	ZNHIT6	ZNHIT6	984	physical
418	HRAS	HRAS	531.6222317	physical
419	KRAS	KRAS	476.9029431	physical
420	E	UBA52	471.58	physical
421	M	PKM	330.86	physical
422	M	RPS27A	411.9	physical
423	nsp3	MCCC1	385.8	physical
424	nsp4	UBA52	349.51	physical
425	ORF3a	RPS27A	364.99	physical
426	ORF7b	RPS27A	504.25	physical
427	ORF6	ABCD3	1093	physical
428	ORF8	ABCD3	362	physical
429	ORF3b	ABCD3	342	physical
430	ORF3b	ACBD3	317	physical
431	nsp6	ACSL3	308	physical
432	ORF7a	AGPAT9	320	physical
433	ORF7b	AGPAT9	319	physical
434	nsp4	AGPAT9	374	physical
435	ORF9b	AKAP1	494	physical
436	M	ALDH3A2	1218	physical
437	E	ALDH3A2	319	physical
438	ORF7b	ALDH3A2	307	physical
439	nsp6	ANKLE2	376	physical
440	nsp4	ANKLE2	320	physical
441	ORF6	ARCN1	314	physical
442	ORF3b	ARCN1	309	physical
443	nsp6	ARF1	431	physical
444	nsp2	ARHGAP1	611	physical
445	ORF7a	ARL6IP5	375	physical
446	ORF7b	ARL6IP5	357	physical
447	ORF7b	ATP1A1	410	physical
448	ORF9b	ATP5B	1863	physical
449	ORF7b	ATP6AP1	440	physical
450	ORF7a	ATP6AP1	388	physical
451	ORF7b	ATP6AP2	807	physical
452	ORF7a	ATP6AP2	630	physical
453	E	ATP6AP2	491	physical
454	nsp6	ATP6AP2	408	physical
455	nsp4	ATP6AP2	324	physical
456	ORF7a	AUP1	545	physical
457	ORF7b	AUP1	386	physical
458	nsp6	AUP1	332	physical
459	ORF6	BIRC6	1440	physical
460	nsp6	EMC7	468	physical
461	ORF7b	CAMLG	352	physical
462	ORF7a	CANX	602	physical
463	ORF8	CANX	474	physical
464	S	CANX	450	physical
465	ORF7b	CANX	385	physical
466	E	CANX	380	physical
467	nsp6	CANX	450	physical
468	nsp4	CANX	377	physical
469	ORF6	CCDC22	586	physical
470	ORF7a	CCDC47	1648	physical
471	ORF7b	CCDC47	925	physical
472	E	CCDC47	669	physical
473	M	CCDC47	642	physical
474	ORF8	CCDC47	612	physical
475	ORF3a	CCDC47	328	physical
476	nsp6	CCDC47	1038	physical
477	nsp4	CCDC47	528	physical
478	ORF7b	CDKAL1	384	physical
479	ORF7a	CDKAL1	375	physical
480	E	CDKAL1	334	physical
481	M	CDKAL1	332	physical
482	nsp6	CDKAL1	364	physical
483	ORF7b	CKAP4	658	physical
484	E	CKAP4	616	physical
485	ORF7a	CKAP4	587	physical
486	S	CKAP4	530	physical
487	ORF8	CKAP4	529	physical
488	M	CKAP4	425	physical
489	nsp6	CKAP4	367	physical
490	nsp4	CKAP4	548	physical
491	nsp4	CLCC1	336	physical
492	ORF7a	CLGN	305	physical
493	M	CLTC	556	physical
494	ORF6	COPG1	549	physical
495	ORF3b	COPG1	467	physical
496	nsp4	COPG1	688	physical
497	nsp6	EMC8	382	physical
498	ORF3b	CPD	633	physical
499	ORF7b	CPD	451	physical
500	ORF7a	CPD	320	physical
501	nsp4	CPD	351	physical
502	ORF7a	DDOST	464	physical
503	ORF8	DDOST	347	physical
504	nsp4	DDOST	424	physical
505	ORF3b	DEPDC1B	338	physical
506	E	DHRS7	458	physical
507	ORF7b	DHRS7	415	physical
508	ORF7a	DHRS7	355	physical
509	M	DHRS7	318	physical
510	nsp6	DHRS7	388	physical
511	nsp4	DHRS7	416	physical
512	ORF7a	DNAJC16	497	physical
513	E	DNAJC16	365	physical
514	ORF9b	DNM1L	813	physical
515	ORF7a	EIF2AK3	336	physical
516	ORF7b	EMD	758	physical
517	ORF7a	EMD	757	physical
518	E	EMD	687	physical
519	M	EMD	675	physical
520	ORF8	EMD	313	physical
521	nsp6	EMD	563	physical
