Interactor_A	Interactor_B	Score	type	org1	org2
125	INO80B	RPL7	454	physical	Homo sapiens	Homo sapiens
126	INO80B	RPL7A	727	physical	Homo sapiens	Homo sapiens
127	INO80B	RPL8	636	physical	Homo sapiens	Homo sapiens
128	INO80B	RPLP0	417	physical	Homo sapiens	Homo sapiens
129	INO80B	RPS2	356	physical	Homo sapiens	Homo sapiens
130	INO80B	RPS3A	622	physical	Homo sapiens	Homo sapiens
131	INO80B	RPS8	786	physical	Homo sapiens	Homo sapiens
132	INO80B	RSL1D1	317	physical	Homo sapiens	Homo sapiens
133	INO80B	RUVBL1	464	physical	Homo sapiens	Homo sapiens
134	INO80B	RUVBL2	317	physical	Homo sapiens	Homo sapiens
135	INO80B	SCAF1	644	physical	Homo sapiens	Homo sapiens
136	INO80B	SCAF8	476	physical	Homo sapiens	Homo sapiens
137	INO80B	TSR1	407	physical	Homo sapiens	Homo sapiens
138	INO80B	BRD2	832	physical	Homo sapiens	Homo sapiens
139	INO80B	BRD3	630	physical	Homo sapiens	Homo sapiens
140	INO80B	BRD4	1614	physical	Homo sapiens	Homo sapiens
141	INO80B	INO80	877	physical	Homo sapiens	Homo sapiens
142	INO80B	POLR2A	315	physical	Homo sapiens	Homo sapiens
143	NCDN	AGPS	705	physical	Homo sapiens	Homo sapiens
144	NCDN	ALDH3A2	1058	physical	Homo sapiens	Homo sapiens
145	NCDN	ASAH1	443	physical	Homo sapiens	Homo sapiens
146	NCDN	ATP1A1	1193	physical	Homo sapiens	Homo sapiens
147	NCDN	ATP5A1	534	physical	Homo sapiens	Homo sapiens
148	NCDN	ATP5B	647	physical	Homo sapiens	Homo sapiens
149	NCDN	CLPTM1L	491	physical	Homo sapiens	Homo sapiens
150	NCDN	EHHADH	603	physical	Homo sapiens	Homo sapiens
151	NCDN	ESYT1	339	physical	Homo sapiens	Homo sapiens
152	NCDN	GOLGA5	734	physical	Homo sapiens	Homo sapiens
153	NCDN	IGF2R	381	physical	Homo sapiens	Homo sapiens
154	NCDN	ILVBL	1316	physical	Homo sapiens	Homo sapiens
155	NCDN	MOGS	1555	physical	Homo sapiens	Homo sapiens
156	NCDN	NCDN	4786	physical	Homo sapiens	Homo sapiens
157	NCDN	RPN1	346	physical	Homo sapiens	Homo sapiens
158	POLDIP2	CLPX	2318	physical	Homo sapiens	Homo sapiens
159	POLDIP2	POLDIP2	1485	physical	Homo sapiens	Homo sapiens
160	RPAP3	HSPA4	335	physical	Homo sapiens	Homo sapiens
161	RPAP3	POLR2B	563	physical	Homo sapiens	Homo sapiens
162	RPAP3	POLR3A	1300	physical	Homo sapiens	Homo sapiens
163	RPAP3	RPAP3	2788	physical	Homo sapiens	Homo sapiens
164	RPAP3	RUVBL1	1178	physical	Homo sapiens	Homo sapiens
165	RPAP3	RUVBL2	1243	physical	Homo sapiens	Homo sapiens
166	RPAP3	TANGO6	304	physical	Homo sapiens	Homo sapiens
167	RPAP3	URI1	1102	physical	Homo sapiens	Homo sapiens
168	RPAP3	WDR92	1014	physical	Homo sapiens	Homo sapiens
169	RUVBL1	C12orf45	439	physical	Homo sapiens	Homo sapiens
170	RUVBL1	C2orf44	1300	physical	Homo sapiens	Homo sapiens
171	RUVBL1	DKC1	461	physical	Homo sapiens	Homo sapiens
172	RUVBL1	DPCD	593	physical	Homo sapiens	Homo sapiens
173	RUVBL1	EFTUD2	965	physical	Homo sapiens	Homo sapiens
174	RUVBL1	NOP58	552	physical	Homo sapiens	Homo sapiens
175	RUVBL1	POLR2B	573	physical	Homo sapiens	Homo sapiens
176	RUVBL1	PRPF8	609	physical	Homo sapiens	Homo sapiens
177	RUVBL1	RUVBL1	2821	physical	Homo sapiens	Homo sapiens
178	RUVBL1	RUVBL2	2802	physical	Homo sapiens	Homo sapiens
179	RUVBL1	SHQ1	348	physical	Homo sapiens	Homo sapiens
180	RUVBL1	SNRNP200	474	physical	Homo sapiens	Homo sapiens
181	RUVBL1	SRCAP	795	physical	Homo sapiens	Homo sapiens
182	RUVBL1	TTI1	356	physical	Homo sapiens	Homo sapiens
183	RUVBL1	UPF1	485	physical	Homo sapiens	Homo sapiens
184	RUVBL1	ZNHIT2	450	physical	Homo sapiens	Homo sapiens
185	RUVBL2	C12orf45	626	physical	Homo sapiens	Homo sapiens
186	RUVBL2	C2orf44	2426	physical	Homo sapiens	Homo sapiens
187	RUVBL2	DKC1	540	physical	Homo sapiens	Homo sapiens
188	RUVBL2	DPCD	637	physical	Homo sapiens	Homo sapiens
189	RUVBL2	EFTUD2	1267	physical	Homo sapiens	Homo sapiens
190	RUVBL2	POLR2B	530	physical	Homo sapiens	Homo sapiens
191	RUVBL2	POLR3A	406	physical	Homo sapiens	Homo sapiens
192	RUVBL2	PRPF8	1035	physical	Homo sapiens	Homo sapiens
193	RUVBL2	RPAP3	690	physical	Homo sapiens	Homo sapiens
194	RUVBL2	RUVBL1	3027	physical	Homo sapiens	Homo sapiens
195	RUVBL2	RUVBL2	3252	physical	Homo sapiens	Homo sapiens
196	RUVBL2	SHQ1	410	physical	Homo sapiens	Homo sapiens
197	RUVBL2	SNRNP200	1292	physical	Homo sapiens	Homo sapiens
198	RUVBL2	TANGO6	419	physical	Homo sapiens	Homo sapiens
199	RUVBL2	TTI1	1485	physical	Homo sapiens	Homo sapiens
200	RUVBL2	UPF1	567	physical	Homo sapiens	Homo sapiens
201	RUVBL2	URI1	452	physical	Homo sapiens	Homo sapiens
202	RUVBL2	WDR92	382	physical	Homo sapiens	Homo sapiens
203	RUVBL2	ZNHIT2	690	physical	Homo sapiens	Homo sapiens
204	RUVBL2	ACTL6A	302	physical	Homo sapiens	Homo sapiens
205	RUVBL2	EP400	1200	physical	Homo sapiens	Homo sapiens
206	RUVBL2	SRCAP	1627	physical	Homo sapiens	Homo sapiens
207	RUVBL2	SUGP2	559	physical	Homo sapiens	Homo sapiens
208	RUVBL2	TRRAP	434	physical	Homo sapiens	Homo sapiens
209	SLC7A6OS	AAR2	1292	physical	Homo sapiens	Homo sapiens
210	SLC7A6OS	ACAD11	1173	physical	Homo sapiens	Homo sapiens
211	SLC7A6OS	DHX38	363	physical	Homo sapiens	Homo sapiens
212	SLC7A6OS	EAPP	486	physical	Homo sapiens	Homo sapiens
213	SLC7A6OS	ECD	411	physical	Homo sapiens	Homo sapiens
214	SLC7A6OS	EFTUD2	4719	physical	Homo sapiens	Homo sapiens
215	SLC7A6OS	OBSL1	940	physical	Homo sapiens	Homo sapiens
216	SLC7A6OS	PRPF8	9343	physical	Homo sapiens	Homo sapiens
217	SLC7A6OS	SLC7A6OS	1623	physical	Homo sapiens	Homo sapiens
218	SLC7A6OS	SNRNP200	8243	physical	Homo sapiens	Homo sapiens
219	SLC7A6OS	TSSC4	510	physical	Homo sapiens	Homo sapiens
220	SLC7A6OS	WDR5	465	physical	Homo sapiens	Homo sapiens
221	TBC1D7	TBC1D7	1342	physical	Homo sapiens	Homo sapiens
222	TBC1D7	TSC1	4250	physical	Homo sapiens	Homo sapiens
223	TBC1D7	TSC2	4608	physical	Homo sapiens	Homo sapiens
224	TSC1	CPVL	320	physical	Homo sapiens	Homo sapiens
225	TSC1	RPAP3	514	physical	Homo sapiens	Homo sapiens
226	TSC1	RUVBL1	430	physical	Homo sapiens	Homo sapiens
227	TSC1	TBC1D7	794	physical	Homo sapiens	Homo sapiens
228	TSC1	TSC1	4158	physical	Homo sapiens	Homo sapiens
229	TSC1	TSC2	3843	physical	Homo sapiens	Homo sapiens
230	TSC1	URI1	311	physical	Homo sapiens	Homo sapiens
231	TSC2	RUVBL2	320	physical	Homo sapiens	Homo sapiens
232	TSC2	TSC1	834	physical	Homo sapiens	Homo sapiens
233	TSC2	TSC2	7612	physical	Homo sapiens	Homo sapiens
234	TSSC4	AAR2	974	physical	Homo sapiens	Homo sapiens
235	TSSC4	AQR	476	physical	Homo sapiens	Homo sapiens
236	TSSC4	CD2BP2	652	physical	Homo sapiens	Homo sapiens
237	TSSC4	CDC5L	437	physical	Homo sapiens	Homo sapiens
238	TSSC4	DDX23	1449	physical	Homo sapiens	Homo sapiens
239	TSSC4	DHX38	637	physical	Homo sapiens	Homo sapiens
240	TSSC4	EAPP	307	physical	Homo sapiens	Homo sapiens
241	TSSC4	ECD	1617	physical	Homo sapiens	Homo sapiens
242	TSSC4	EFTUD2	4391	physical	Homo sapiens	Homo sapiens
243	TSSC4	MTA2	650	physical	Homo sapiens	Homo sapiens
244	TSSC4	NCDN	312	physical	Homo sapiens	Homo sapiens
245	TSSC4	PLRG1	624	physical	Homo sapiens	Homo sapiens
246	TSSC4	PRPF19	697	physical	Homo sapiens	Homo sapiens
247	TSSC4	PRPF6	2337	physical	Homo sapiens	Homo sapiens
248	TSSC4	PRPF8	8943	physical	Homo sapiens	Homo sapiens
249	TSSC4	RUVBL1	700	physical	Homo sapiens	Homo sapiens
250	TSSC4	RUVBL2	609	physical	Homo sapiens	Homo sapiens
251	TSSC4	SLC7A6OS	586	physical	Homo sapiens	Homo sapiens
252	TSSC4	SNRNP200	9855	physical	Homo sapiens	Homo sapiens
253	TSSC4	SNRNP40	1170	physical	Homo sapiens	Homo sapiens
254	TSSC4	TSSC4	490	physical	Homo sapiens	Homo sapiens
255	TSSC4	ZNHIT2	625	physical	Homo sapiens	Homo sapiens
256	TSSC4	CDC40	793	physical	Homo sapiens	Homo sapiens
257	TSSC4	SNW1	350	physical	Homo sapiens	Homo sapiens
258	URI1	PIH1D1	671	physical	Homo sapiens	Homo sapiens
