"","ACTN1","AIF1","APEX1","ARHGAP25","BIN2","BTLA","CCR7","CD14","CD19","CD2","CD27","CD28","CD300A","CD3D","CD3E","CD3G","CD4","CD5","CD52","CD6","CD69","CD8A","CD8B","CTLA4","EEF1B2","EEF2","EIF3E","EIF3L","EMP3","FCGR3A","FCGR3B","FCMR","FCRL3","FGFBP2","FGR","FLNA","GIMAP5","GIMAP8","GNLY","GPR183","GZMB","GZMH","GZMK","IFNG","IL10RA","IL17RA","IL2RA","IL2RB","IL7R","ITGAM","ITGB2","KLRB1","KLRD1","KLRF1","LGALS1","LTB","MYO1F","MYO1G","NKG7","NOP53","NPM1","PLEK","PRF1","PTPRC","RACK1","RPS5","RPS8","RSL1D1","S1PR5","SAMD3","SELL","SELPLG","STK10","TBX21","TIGIT","TOMM7","VCL","WDR43","ZNF683"
"FGR",0,0,0,0.401,0,0,0,0.422,0,0,0,0,0.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,0,0,0,0.52,0.492,0,0,0,0,0,0.499,0,0,0,0,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474,0,0
"GIMAP5",0,0,0,0,0,0,0,0,0,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIMAP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNLY",0,0,0,0,0,0,0,0,0,0.491,0,0,0,0,0,0,0,0,0,0,0,0.653,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0.799,0.789,0.497,0,0,0,0,0.768,0,0,0,0.431,0.78,0.525,0,0,0,0,0.787,0,0,0,0.869,0,0,0,0,0,0,0,0,0,0,0.448,0,0,0,0,0
"GPR183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GZMB",0,0,0,0,0,0,0,0,0,0.617,0,0,0,0,0,0,0,0,0,0,0,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799,0,0,0.841,0.461,0,0,0,0,0.779,0,0,0,0.442,0.556,0,0,0,0,0,0.785,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.485,0,0,0,0,0
"GZMH",0,0,0,0,0,0,0,0,0,0.768,0,0,0,0.43,0,0,0,0,0,0,0,0.786,0,0,0,0,0,0,0,0,0,0,0,0.769,0,0,0,0,0.789,0,0.841,0,0.78,0.443,0,0,0,0.451,0,0,0,0.457,0.779,0.401,0,0,0,0,0.862,0,0,0,0.793,0,0,0,0,0,0.428,0.463,0,0,0,0.505,0,0,0,0,0.766
"GZMK",0,0,0,0,0,0,0,0,0,0.8,0.434,0,0,0.779,0.447,0.532,0,0,0.439,0.444,0,0.787,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0,0.461,0.78,0,0,0,0,0,0.51,0.482,0,0,0.783,0.478,0,0,0,0,0,0.777,0,0,0,0.502,0,0,0,0,0,0,0.478,0,0,0,0,0.409,0,0,0,0
"IFNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0
