"","ACTN1","ADRB2","AHNAK","AIF1","APEX1","ARHGAP25","ATM","BCL2","BIN2","BIRC3","BTLA","CAMK4","CAPN2","CASP2","CASP8","CCDC141","CCR10","CCR4","CCR6","CCR7","CCR8","CD14","CD19","CD2","CD27","CD28","CD300A","CD38","CD3D","CD3E","CD3G","CD4","CD5","CD52","CD6","CD69","CD8A","CD8B","CTLA4","CX3CR1","CXCR3","CXCR4","EEF1B2","EEF2","EFHD2","EIF3E","EIF3L","EMP3","ENTPD1","EPHX2","EXOSC8","FAS","FCGR3A","FCGR3B","FCMR","FCRL3","FGFBP2","FGR","FKBP5","FLNA","FOXP1","FOXP3","GIMAP5","GIMAP8","GLUL","GNLY","GP1BA","GPR183","GZMB","GZMH","GZMK","HAVCR2","IFNG","IGF1R","IL10RA","IL17A","IL17RA","IL2RA","IL2RB","IL4","IL7R","ISG20","ITGA4","ITGAM","ITGB1","ITGB2","KLRB1","KLRD1","KLRF1","LDLRAP1","LEF1","LGALS1","LILRB1","LMNA","LMO7","LTB","MAML2","MCAM","MYC","MYO1F","MYO1G","NCAM1","NKG7","NOP53","NPM1","NT5E","PDCD1","PDE3B","PIK3R5","PLEK","PLEKHG3","PRF1","PRKCA","PRKCB","PTPRC","PXN","RACK1","RAP1B","RAP1GAP2","RASGRP2","RPS5","RPS8","RSL1D1","S1PR5","SAMD3","SAMHD1","SELL","SELPLG","SLC9A3R1","SNX20","SPTBN1","STAM","STK10","SYNE1","TAGLN2","TBX21","TCF7","TFRC","TIGIT","TNFRSF18","TNFRSF8","TNFSF8","TOMM7","TPCN1","TRAP1","TTN","UBQLN2","USP15","USP28","VCL","WDR43","ZNF683"
"CD14",0,0,0,0.408,0,0,0,0,0,0.409,0,0,0,0,0.514,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654,0,0.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD19",0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0.457,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,0,0,0,1,0.472,0,0,0,0.835,0.846,0.81,0.403,0.67,0.588,0.731,0,0.802,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456,0,0,0.491,0,0,0.64,0.782,0.812,0,0,0,0.451,0,0,0,0.681,0,0.53,0,0,0,0,0,0.787,0,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0,0.767,0,0,0,0,0,0,0,0,0.587,0,0,0.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0,0,0,0.472,1,0,0,0,0.441,0,0,0,0,0,0.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.428,0,0.497,0,0.419,0,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD300A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
"CD3D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,0,0,0,0.835,0.441,0.428,0,0,1,0.999,0.999,0.929,0.473,0.5,0.653,0,0.975,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0.785,0,0,0,0,0,0,0,0,0,0.657,0,0,0,0,0,0.526,0,0,0.511,0,0,0,0,0,0,0,0,0,0,0,0,0.482,0,0,0,0.571,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0,0,0,0,0,0,0,0,0.526,0,0,0,0,0
"CD3E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484,0,0,0,0.846,0,0,0,0,0.999,1,0.999,0.943,0.784,0.672,0.684,0,0.97,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556,0,0,0,0,0.483,0,0,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD3G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448,0,0,0,0.81,0,0.497,0,0,0.999,0.999,1,0.91,0.491,0,0.66,0,0.962,0.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0,0.433,0,0,0,0,0,0,0,0,0,0,0,0,0.532,0,0,0,0,0,0,0,0,0,0.595,0,0,0,0,0,0.401,0,0,0.511,0,0,0,0,0,0,0,0,0,0,0,0,0.432,0,0,0,0.558,0,0,0,0,0.495,0,0,0.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.503,0,0,0,0,0
