"regulatoryGene","targetGene","weight"
"RACK1","IL17RA",0.0194214787651438
"RPS8","ITGAM",0.0194156596737337
"RSL1D1","GNLY",0.0194149453380696
"RPS8","MYC",0.0194114272467753
"GZMK","CCR7",0.0193923263246694
"NKG7","KLRF1",0.0193874051952613
"PRF1","FOXP3",0.0193863789669172
"PXN","GIMAP8",0.0193624734799941
"RACK1","CD3E",0.0193573533920834
"GZMB","ITGAM",0.0193534633425764
"CD8A","EIF3L",0.0193408598484564
"FAS","USP28",0.01933675564193
"KLRD1","RPS5",0.0193357926956474
"GNLY","RSL1D1",0.019321120159084
"NKG7","USP28",0.0193154834174427
"CD8A","NPM1",0.019314942790052
"KLRD1","ADRB2",0.019314583138675
"GZMB","EIF3L",0.01930771364424
"NKG7","CD3E",0.0193038147366144
"KLRF1","MYC",0.0192752197401684
"RPS5","USP28",0.0192736381479486
"NKG7","FLNA",0.0192692368300489
"RSL1D1","PRKCB",0.0192682224609894
"IL2RB","CD3E",0.0192623534306513
"WDR43","IL2RA",0.0192396276857015
"PRF1","CASP8",0.0192290836086347
"EEF2","GZMK",0.0192265623907109
"EEF1B2","CD3D",0.0192260093829155
"GZMH","ITGAM",0.0192241528308019
"RSL1D1","GIMAP5",0.0192214639683787
"CD2","CD5",0.0192187130729793
"KLRD1","EEF2",0.0192102055169263
"EIF3E","WDR43",0.01920061338375
"GZMB","ITGB2",0.0192004479579828
"KLRD1","IL2RB",0.0191817288316688
"CD8A","PXN",0.0191803967741992
"FAS","PRF1",0.0191766762428159
"CD8A","ADRB2",0.0191753956679603
"GZMB","CD8A",0.0191590994198974
"NKG7","ITGA4",0.0191568558021238
"RACK1","KLRD1",0.0191514076951031
